path,kind,bytes,sha256,contains_raw_images_or_weights,redistribution_scope
HISTORICAL_RECORDS.md,metadata_or_derived_table,538,90a2af966756ece000acaca359a16bd9e52da2c322c5592a1d9bc2f18cc4c2e4,no,derived_values_only
LICENSE_SCOPE.md,metadata_or_derived_table,460,7119890da0e151dfe78d738eea61eb21610eb36e72ed40b096e9efe4041bf3f2,no,derived_values_only
README.md,metadata_or_derived_table,1211,e3bf25fc6d6df630f39e3798a2e2c47f05f5c3ff0e78d9638588fe028e1f5fb2,no,derived_values_only
REPRODUCTION_MATRIX.md,metadata_or_derived_table,1334,4e5fb3e9904fc4f8be726e8c88396d8fd2fef816a6f90ede2e362ea358683231,no,derived_values_only
provenance/HISTORICAL_ROUNDED_RECORDS_NOT_USED.txt,metadata_or_derived_table,150,69037ed2fa4da3312ae57108ef8f02b5f30c8aab609a9b8da66e5c959c084715,no,derived_values_only
provenance/README.md,metadata_or_derived_table,1020,cfc65bc318355988701e48e752991e9a3b6a4035e4b6a0e3c667ed9a9a9a75cf,no,derived_values_only
provenance/command_inventory.tsv,metadata_or_derived_table,4763,07e3ed54f8db60da386b7883c19b1d3174f80ff383898da870711f6e1045ba7c,no,derived_values_only
provenance/initial_state_hashes_seed012.tsv,metadata_or_derived_table,530,2f09186e800ec144cb147dba033b2f51219bdd2d571c3757310953502e003232,no,derived_values_only
provenance/initial_state_hashes_seed34_status.tsv,metadata_or_derived_table,318,188be3fa09e446aaf006db846cb0a0c1570970f1245097e2fa60d24d92291ca1,no,derived_values_only
provenance/run_inventory_sanitized.json,metadata_or_derived_table,614,608e8db9f8edf4a4c1a3a0bf0099b5f46fc016ff564ea4c275f800f34f2b9d88,no,derived_values_only
provenance/runner_and_config_hashes.tsv,metadata_or_derived_table,370,18f75d9123d6fdbc9fd703a3e5e009f98cde1b585bfbee1b6bbc2b2f3d6d286d,no,derived_values_only
reproduction/reproduce_clean_statistics.py,evaluation_script,1006,bb5f006bf636cc86d4a6b1bbb53c782051d8d66b32fa9b8153e2603279bc7619,no,code_only
selectors/ordinary10_hard_seed0.indices.npy,selection_indices,40128,07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5,no,derived_indices_only
selectors/ordinary10_hard_seed1.indices.npy,selection_indices,40128,07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5,no,derived_indices_only
selectors/ordinary10_hard_seed2.indices.npy,selection_indices,40128,07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5,no,derived_indices_only
selectors/ordinary10_hard_seed3.indices.npy,selection_indices,40128,07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5,no,derived_indices_only
selectors/ordinary10_hard_seed4.indices.npy,selection_indices,40128,07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5,no,derived_indices_only
selectors/ordinary10_random_seed0.indices.npy,selection_indices,40128,4a314a9e1082b353cbe8bea1df2deb82e16a7d95a5b7761650a8638266bf8570,no,derived_indices_only
selectors/ordinary10_random_seed1.indices.npy,selection_indices,40128,b9681128946a2425232268fcd848d2c97c4bcff8e916d65b633c3de722b83ed3,no,derived_indices_only
selectors/ordinary10_random_seed2.indices.npy,selection_indices,40128,5ef7520610eac5b8e950373e6c05f1a3a1bd9fea7e620c6d32f7279f01dd3bc7,no,derived_indices_only
selectors/ordinary10_random_seed3.indices.npy,selection_indices,40128,f10e28f5071c6aba120d48f777b753deeb66ad6cdf0e4929114cf990213dee00,no,derived_indices_only
selectors/ordinary10_random_seed4.indices.npy,selection_indices,40128,2a721c00352463934c6cae5f814a98a500e3282e628ef1f830757abc1d49b2ca,no,derived_indices_only
selectors/selector_hashes.tsv,metadata_or_derived_table,1599,2888fed626015df5ed192a105a31f1630937c538dc406d0fda24e106788032ab,no,derived_values_only
statistics/dino_final_clean_5seed_validation.md,metadata_or_derived_table,456,b31f2e4e4043f2c3082c916255e000637b35a75274c2bbc34a94976d54b44b72,no,derived_values_only
statistics/dinov2_clean_5seed_all_conditions.csv,metadata_or_derived_table,1757,528566cdbcd659ce729e16e6dd85102278282984850acfb057e24e8f7462ff4a,no,derived_values_only
statistics/dinov2_clean_5seed_all_conditions.json,metadata_or_derived_table,3835,5f3b511d4909b7fe16919be17ec9c0157567d5d2c5a8a9bd871d8fe547b1225c,no,derived_values_only
statistics/ordinary10_clean_5seed_seed_level.csv,metadata_or_derived_table,2138,24ec720b9463d25f642af0155c2c4be3e02180790cd65d82e3f347fc90861711,no,derived_values_only
statistics/ordinary10_clean_5seed_statistics.json,metadata_or_derived_table,865,1e1f08f4b8f8694d549ce73ffc9df89237c119ef49424725296c449434ed48ff,no,derived_values_only
statistics/ordinary10_clean_5seed_statistics.md,metadata_or_derived_table,492,30f395cb0c7c62f0ecbd9c912b7b79003b4e583adbc626801187b9b90329278f,no,derived_values_only
