sample_id,target_name,target_score
187,first_learning_epoch_mapped,51
188,first_learning_epoch_mapped,51
189,first_learning_epoch_mapped,44
190,first_learning_epoch_mapped,51
191,first_learning_epoch_mapped,34
192,first_learning_epoch_mapped,34
193,first_learning_epoch_mapped,51
194,first_learning_epoch_mapped,33
195,first_learning_epoch_mapped,51
196,first_learning_epoch_mapped,44
197,first_learning_epoch_mapped,34
198,first_learning_epoch_mapped,35
199,first_learning_epoch_mapped,9
200,first_learning_epoch_mapped,33
201,first_learning_epoch_mapped,51
202,first_learning_epoch_mapped,32
203,first_learning_epoch_mapped,18
204,first_learning_epoch_mapped,21
205,first_learning_epoch_mapped,50
206,first_learning_epoch_mapped,32
207,first_learning_epoch_mapped,50
208,first_learning_epoch_mapped,39
209,first_learning_epoch_mapped,49
210,first_learning_epoch_mapped,50
211,first_learning_epoch_mapped,45
212,first_learning_epoch_mapped,33
213,first_learning_epoch_mapped,51
214,first_learning_epoch_mapped,32
215,first_learning_epoch_mapped,50
216,first_learning_epoch_mapped,50
217,first_learning_epoch_mapped,33
218,first_learning_epoch_mapped,35
219,first_learning_epoch_mapped,3
220,first_learning_epoch_mapped,12
221,first_learning_epoch_mapped,51
222,first_learning_epoch_mapped,46
223,first_learning_epoch_mapped,34
224,first_learning_epoch_mapped,33
225,first_learning_epoch_mapped,38
226,first_learning_epoch_mapped,9
227,first_learning_epoch_mapped,4
228,first_learning_epoch_mapped,51
229,first_learning_epoch_mapped,49
230,first_learning_epoch_mapped,51
231,first_learning_epoch_mapped,51
232,first_learning_epoch_mapped,38
233,first_learning_epoch_mapped,13
234,first_learning_epoch_mapped,51
235,first_learning_epoch_mapped,48
236,first_learning_epoch_mapped,17
237,first_learning_epoch_mapped,35
238,first_learning_epoch_mapped,50
239,first_learning_epoch_mapped,42
240,first_learning_epoch_mapped,39
241,first_learning_epoch_mapped,17
242,first_learning_epoch_mapped,51
243,first_learning_epoch_mapped,42
244,first_learning_epoch_mapped,51
245,first_learning_epoch_mapped,45
246,first_learning_epoch_mapped,33
247,first_learning_epoch_mapped,51
248,first_learning_epoch_mapped,13
249,first_learning_epoch_mapped,50
250,first_learning_epoch_mapped,51
251,first_learning_epoch_mapped,38
252,first_learning_epoch_mapped,7
253,first_learning_epoch_mapped,33
254,first_learning_epoch_mapped,37
255,first_learning_epoch_mapped,22
256,first_learning_epoch_mapped,30
257,first_learning_epoch_mapped,49
258,first_learning_epoch_mapped,49
259,first_learning_epoch_mapped,51
260,first_learning_epoch_mapped,36
261,first_learning_epoch_mapped,34
262,first_learning_epoch_mapped,50
263,first_learning_epoch_mapped,51
264,first_learning_epoch_mapped,51
265,first_learning_epoch_mapped,43
266,first_learning_epoch_mapped,40
267,first_learning_epoch_mapped,47
268,first_learning_epoch_mapped,51
269,first_learning_epoch_mapped,7
270,first_learning_epoch_mapped,51
271,first_learning_epoch_mapped,25
272,first_learning_epoch_mapped,33
273,first_learning_epoch_mapped,51
274,first_learning_epoch_mapped,4
275,first_learning_epoch_mapped,10
276,first_learning_epoch_mapped,41
277,first_learning_epoch_mapped,4
278,first_learning_epoch_mapped,30
279,first_learning_epoch_mapped,51
280,first_learning_epoch_mapped,47
281,first_learning_epoch_mapped,5
282,first_learning_epoch_mapped,33
283,first_learning_epoch_mapped,3
284,first_learning_epoch_mapped,51
285,first_learning_epoch_mapped,35
286,first_learning_epoch_mapped,48
287,first_learning_epoch_mapped,50
