sample_id,target_name,target_score
191,ce_resnet18,0.0470476933
192,ce_resnet18,0.106945775
193,ce_resnet18,0.102190107
194,ce_resnet18,0.0887781382
195,ce_resnet18,0.118985742
196,ce_resnet18,0.0930602551
197,ce_resnet18,0.0920897275
198,ce_resnet18,0.0856249481
199,ce_resnet18,0.0982872993
200,ce_resnet18,0.100253604
201,ce_resnet18,0.116527423
202,ce_resnet18,0.099613592
203,ce_resnet18,0.101262562
204,ce_resnet18,0.08475364
205,ce_resnet18,0.0816316605
206,ce_resnet18,0.118422009
207,ce_resnet18,0.0971787423
208,ce_resnet18,0.0934241563
209,ce_resnet18,0.101896666
210,ce_resnet18,0.0821252689
211,ce_resnet18,0.139593765
212,ce_resnet18,0.120799296
213,ce_resnet18,0.0674792007
214,ce_resnet18,0.0957746878
215,ce_resnet18,0.0666848272
216,ce_resnet18,0.107250482
217,ce_resnet18,0.0814975053
218,ce_resnet18,0.0714726821
219,ce_resnet18,0.101643205
220,ce_resnet18,0.135281965
221,ce_resnet18,0.0790679827
222,ce_resnet18,0.0662344173
223,ce_resnet18,0.10221637
224,ce_resnet18,0.112865053
225,ce_resnet18,0.0689007118
226,ce_resnet18,0.115806557
227,ce_resnet18,0.0973607749
228,ce_resnet18,0.100559272
229,ce_resnet18,0.0563008636
230,ce_resnet18,0.0625818893
231,ce_resnet18,0.108392648
232,ce_resnet18,0.0986137688
233,ce_resnet18,0.120864794
234,ce_resnet18,0.0852614716
235,ce_resnet18,0.115191199
236,ce_resnet18,0.0745021254
237,ce_resnet18,0.0549267642
238,ce_resnet18,0.102686584
239,ce_resnet18,0.0734622478
240,ce_resnet18,0.105561495
241,ce_resnet18,0.0695299804
242,ce_resnet18,0.0599184297
243,ce_resnet18,0.0875931308
244,ce_resnet18,0.118132338
245,ce_resnet18,0.101847462
246,ce_resnet18,0.0973626077
247,ce_resnet18,0.10150934
248,ce_resnet18,0.13207455
249,ce_resnet18,0.0926200449
250,ce_resnet18,0.0608680584
251,ce_resnet18,0.0927353278
252,ce_resnet18,0.0867449567
253,ce_resnet18,0.11891409
254,ce_resnet18,0.092844516
255,ce_resnet18,0.102150068
256,ce_resnet18,0.131756723
257,ce_resnet18,0.0568481311
258,ce_resnet18,0.0765645206
259,ce_resnet18,0.123865999
260,ce_resnet18,0.0716107413
261,ce_resnet18,0.0943596512
262,ce_resnet18,0.110177882
263,ce_resnet18,0.111955352
264,ce_resnet18,0.0735613778
265,ce_resnet18,0.102375753
266,ce_resnet18,0.103981927
267,ce_resnet18,0.0780683383
268,ce_resnet18,0.0917133763
269,ce_resnet18,0.100284226
270,ce_resnet18,0.116427474
271,ce_resnet18,0.145003632
272,ce_resnet18,0.120597497
273,ce_resnet18,0.0676674992
274,ce_resnet18,0.108567521
275,ce_resnet18,0.0921390876
276,ce_resnet18,0.129731059
277,ce_resnet18,0.103662789
278,ce_resnet18,0.0638058409
279,ce_resnet18,0.0872111395
280,ce_resnet18,0.115413316
281,ce_resnet18,0.091529876
282,ce_resnet18,0.0820485055
283,ce_resnet18,0.108048595
284,ce_resnet18,0.0674222559
285,ce_resnet18,0.0780314058
286,ce_resnet18,0.074546054
287,ce_resnet18,0.128453359
288,ce_resnet18,0.093785651
289,ce_resnet18,0.120982997
290,ce_resnet18,0.122584261
291,ce_resnet18,0.100352593
292,ce_resnet18,0.122083113
293,ce_resnet18,0.151047349
294,ce_resnet18,0.120325476
295,ce_resnet18,0.0970029458
296,ce_resnet18,0.0970962048
297,ce_resnet18,0.0609848201
298,ce_resnet18,0.0814899206
299,ce_resnet18,0.108849071
300,ce_resnet18,0.0770445243
301,ce_resnet18,0.101811178
302,ce_resnet18,0.143839672
303,ce_resnet18,0.133334383
304,ce_resnet18,0.108861469
305,ce_resnet18,0.0799809024
306,ce_resnet18,0.0717656463
307,ce_resnet18,0.0994172916
308,ce_resnet18,0.0994430855
309,ce_resnet18,0.0807593912
310,ce_resnet18,0.160622343
311,ce_resnet18,0.0994834527
312,ce_resnet18,0.0849833861
