path,kind,bytes,sha256,contains_raw_images_or_weights,redistribution_scope
dinov2_multibudget/selections/random_budget0.10_seed0.indices.npy,selection_indices,40128,4a314a9e1082b353cbe8bea1df2deb82e16a7d95a5b7761650a8638266bf8570,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.10_seed1.indices.npy,selection_indices,40128,b9681128946a2425232268fcd848d2c97c4bcff8e916d65b633c3de722b83ed3,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.10_seed2.indices.npy,selection_indices,40128,5ef7520610eac5b8e950373e6c05f1a3a1bd9fea7e620c6d32f7279f01dd3bc7,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.30_seed0.indices.npy,selection_indices,120128,768d317096179ff015225a688e215d3ce7048b161769037c7c4a3b7ad4ffa77e,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.30_seed1.indices.npy,selection_indices,120128,bca366d6c40740cc8835bcbb74cb9893131419a8008212e737e8def292689fa9,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.30_seed2.indices.npy,selection_indices,120128,8fea53fdc5cf568e7816804d17b3fda9dc36a3c73928fd61f894bdc06e22d909,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.50_seed0.indices.npy,selection_indices,200128,034bf269ec5caa3397bc1682ada9fefb828592e39ed07ba755c54c06ebada217,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.50_seed1.indices.npy,selection_indices,200128,7fc6df4df913f8f5be1cf6554ece37e7ad76aad77ffa8449ca9be20dfb8ccb8c,no,derived_indices_only
dinov2_multibudget/selections/random_budget0.50_seed2.indices.npy,selection_indices,200128,b0c5c35a8d74c29b14113d63031d03e82fca723fb20c3259aae3f8069d8bd929,no,derived_indices_only
dinov2_multibudget/summary.json,metadata_or_document,1469,5b65d57e181f85687cfd505378589de77fa2bdfb7c63369eb1e8afa59a6e7245,no,documentation_or_derived_values
full_data_ordering/README.md,metadata_or_document,703,a50f860a0c82579c25ee6cf1eb357d890c71b2c333d297e56f9c15d403c69018,no,documentation_or_derived_values
full_data_ordering/configs/order_config.json,metadata_or_document,1058,53f869b3d524517902b8a30b7ceaca95123b1697453d2e0c73c5f0f044656415,no,documentation_or_derived_values
full_data_ordering/construct_blocked_order.py,evaluation_script,1995,5989e690bb16d26d123e05253b9a818e7475923c15d6518e459a9be582a5fd78,no,code_only
full_data_ordering/ordering_metadata/bin_membership.csv.gz,metadata_or_document,258952,e1c2e7347a44ba4da1fa39e75f6bd1c1e43b7510e75144334c2909c02cff9266,no,documentation_or_derived_values
full_data_ordering/ordering_metadata/bin_membership_summary.json,metadata_or_document,377,e17d6a3d6a00187a2bb127f82419b014460f49561219ac1dda831a5f5f4fb559,no,documentation_or_derived_values
full_data_ordering/per_seed_results.csv,metadata_or_document,884,254bf32a28f43e2cee8ae0925c3938e3a6a2a5c4a4c1142a119f7f5be0fd111d,no,documentation_or_derived_values
full_data_ordering/reproduce_statistics.py,evaluation_script,2321,78cbb533a517e087632531439774ccc86ce9661b75d3c6999359b04463c09c5b,no,code_only
full_data_ordering/summary.json,metadata_or_document,962,71ca421baff39af3b6a07275cd9e92f6e1f8319b129cb8bf988b661c3b549d42,no,documentation_or_derived_values
openreview_notice/AC_OFFICIAL_COMMENT.md,metadata_or_document,761,05cf697581f2da607508e760e2d47693f68402f24d51a756d61619eae071cba2,no,documentation_or_derived_values
openreview_notice/REBUTTAL_ARTIFACT_SENTENCE.md,metadata_or_document,662,6db0ec5a08ebdd4e7778baea412ca3d214f7da6e0cfb5902fd5aab2e307cbaa8,no,documentation_or_derived_values
