file	count	unique	min_index	max_index	sha256	source_class
selectors/ordinary10_hard_seed0.indices.npy	5000	5000	23	49990	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_hard_seed1.indices.npy	5000	5000	23	49990	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_hard_seed2.indices.npy	5000	5000	23	49990	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_hard_seed3.indices.npy	5000	5000	23	49990	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	EXISTING_RAW_EXTENSION_SEED_3_4
selectors/ordinary10_hard_seed4.indices.npy	5000	5000	23	49990	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	EXISTING_RAW_EXTENSION_SEED_3_4
selectors/ordinary10_random_seed0.indices.npy	5000	5000	14	49998	4a314a9e1082b353cbe8bea1df2deb82e16a7d95a5b7761650a8638266bf8570	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_random_seed1.indices.npy	5000	5000	10	49983	b9681128946a2425232268fcd848d2c97c4bcff8e916d65b633c3de722b83ed3	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_random_seed2.indices.npy	5000	5000	0	49992	5ef7520610eac5b8e950373e6c05f1a3a1bd9fea7e620c6d32f7279f01dd3bc7	CLEAN_RERUN_SEED_0_2
selectors/ordinary10_random_seed3.indices.npy	5000	5000	9	49995	f10e28f5071c6aba120d48f777b753deeb66ad6cdf0e4929114cf990213dee00	EXISTING_RAW_EXTENSION_SEED_3_4
selectors/ordinary10_random_seed4.indices.npy	5000	5000	0	49999	2a721c00352463934c6cae5f814a98a500e3282e628ef1f830757abc1d49b2ca	EXISTING_RAW_EXTENSION_SEED_3_4
