seed	method	initial_state_sha256	status
3	DINO_HARD	NOT_PERSISTED_IN_EXISTING_EXTENSION	PRESERVED_EXISTING_RAW
3	RANDOM	NOT_PERSISTED_IN_EXISTING_EXTENSION	PRESERVED_EXISTING_RAW
4	DINO_HARD	NOT_PERSISTED_IN_EXISTING_EXTENSION	PRESERVED_EXISTING_RAW
4	RANDOM	NOT_PERSISTED_IN_EXISTING_EXTENSION	PRESERVED_EXISTING_RAW
