seed,proxy_hard_best_epoch,proxy_hard_top1_best,proxy_hard_top5_best,random_best_epoch,random_top1_best,random_top5_best,paired_delta_top1_best,paired_delta_top5_best,proxy_hard_top1_final,proxy_hard_top5_final,random_top1_final,random_top5_final,paired_delta_top1_final,paired_delta_top5_final
0,70,53.812,76.982,82,61.272,83.538,-7.460000000000001,-6.555999999999997,53.598,76.774,61.164,83.44,-7.5660000000000025,-6.665999999999997
1,79,53.23,76.482,87,61.482,83.464,-8.252000000000002,-6.981999999999999,52.732,76.298,61.35,83.436,-8.618000000000002,-7.138000000000005
2,66,53.648,76.742,88,61.346,83.52,-7.697999999999993,-6.777999999999992,53.532,76.622,61.306,83.59,-7.774000000000001,-6.9680000000000035
3,86,53.698,76.838,72,61.612,83.55,-7.9140000000000015,-6.712000000000003,53.654,76.762,61.578,83.342,-7.9239999999999995,-6.579999999999998
4,75,53.844,76.956,86,61.346,83.378,-7.501999999999995,-6.421999999999997,53.738,76.668,61.124,83.412,-7.386000000000003,-6.744
